Countries;Total_vehicles;Lorries_all;Lorries_<3.5tons;Lorries_3.5>_<6tons;Lorries>6tons;Motorcycles;Passenger_cars;Buses
Austria;82622;11992;;;;2151;67951;528
Azerbadjan;24666;2264;;;;2;21967;433
Belarus;1035;513;;;;;140;382
Belgium;99910;19300;;;;1220;78730;660
Bulgaria;1130;;;;;428;;702
Canada;332881;28106;;9216;18890;;169976;
China;17307447.27;418779.8758;;229862.1615;188917.7143;331569.1757;16557098.21;
Croatia;24280;2860;;;;250;20840;330
Czechia;56401;9883.946616;;;;476.6864018;45466;573.9693409
Denmark;45200;9400;7400;;;;35800;
Estonia;11659;1993.7;;;;46.6;9397.2;
Finland;50387;9068;5726;;;;40718;
France;616700;34897;;;;11340;573339;3264
Germany;111420;43540;;;16440;17000;615100;3300
Hungary;46415.93;9067.28;6946;754.88;1366.11;494.02;32935.96;
Iceland;648;;;;;;;
India;899963.8691;182144.205;;55965.00232;126179.2027;473146.9286;244672.7355;
Ireland;47072;8023;;;;114;36300;
Italy;84655;;;;;;64689;
Kyrgyzstan;4346;625;;;;11;3082;629
Mexico;162007;31880;;15257;16623;;125108;5019
Montenegro;2523;;;;;;;
Moldavia;1452;;;;;;;
Lithuania;13099;1660;;;;11;10084;1344
Netherlands;142259;26590;18434;;;4801;110227;641
North Macedonia;4793.15;835;;;;;3834.405;44.026
Norway;47065;8780;7253;65;1462;1504;35504;363
Poland;222106;35559;;;;3666;180158;1851
Romania;58589;9709;1320;8389;;800;44613;3467
Russian_Federation;24792;18832;;;;;782;5178
Slovenia;22482;3012;1719;;;241;19087;18
Spain;252055;25122;16334;;8788;3643;203817;
Sweden;83723;14290;;;;652;67776;1006
Switzerland;69265;6894;;;;2068;59833;470
Turkiye;113274;27488;;;;;81578;4208
Ukraine;13487;6462;;;;;4761;2264
Unite_Kingdom;573762;101751;89367;;;4786;447769;3991.667998
United_States;4869321;;;;;;3334676;25748
Uzbekistan;19304;449219;;175904;273315;32138;3309;2481
